"scientificName_original","site","endemic","scientificName_cleaned","genus","species","scientificName_parsed","class","order","valid_AphiaID"
"Ziphius cavirostris (LC)","Archipiélago de Revillagigedo",,"Ziphius cavirostris","Ziphius","cavirostris","Ziphius cavirostris","Mammalia","Cetartiodactyla",137127
"Delphinus delphis (LC)","Archipiélago de Revillagigedo",,"Delphinus delphis","Delphinus","delphis","Delphinus delphis","Mammalia","Cetartiodactyla",137094
"Globicephala macrorhynchus (LC)","Archipiélago de Revillagigedo",,"Globicephala macrorhynchus","Globicephala","macrorhynchus","Globicephala macrorhynchus","Mammalia","Cetartiodactyla",137096
"Grampus griseus (LC)","Archipiélago de Revillagigedo",,"Grampus griseus","Grampus","griseus","Grampus griseus","Mammalia","Cetartiodactyla",137098
"Lagenodelphis hosei (LC)","Archipiélago de Revillagigedo",,"Lagenodelphis hosei","Lagenodelphis","hosei","Lagenodelphis hosei","Mammalia","Cetartiodactyla",137099
"Orcinus orca (DD)","Archipiélago de Revillagigedo",,"Orcinus orca","Orcinus","orca","Orcinus orca","Mammalia","Cetartiodactyla",137102
"Pseudorca crassidens (NT)","Archipiélago de Revillagigedo",,"Pseudorca crassidens","Pseudorca","crassidens","Pseudorca crassidens","Mammalia","Cetartiodactyla",137104
"Stenella attenuata (LC)","Archipiélago de Revillagigedo",,"Stenella attenuata","Stenella","attenuata","Stenella attenuata","Mammalia","Cetartiodactyla",137105
"Stenella coeruleoalba (LC)","Archipiélago de Revillagigedo",,"Stenella coeruleoalba","Stenella","coeruleoalba","Stenella coeruleoalba","Mammalia","Cetartiodactyla",137107
"Holacanthus clarionensis (VU)","Archipiélago de Revillagigedo",,"Holacanthus clarionensis","Holacanthus","clarionensis","Holacanthus clarionensis","Actinopteri","Acanthuriformes",276013
"Holacanthus passer (LC)","Archipiélago de Revillagigedo",,"Holacanthus passer","Holacanthus","passer","Holacanthus passer","Actinopteri","Acanthuriformes",276016
"Pomacanthus zonipectus (LC)","Archipiélago de Revillagigedo",,"Pomacanthus zonipectus","Pomacanthus","zonipectus","Pomacanthus zonipectus","Actinopteri","Acanthuriformes",276028
"Iniistius pavo (LC)","Archipiélago de Revillagigedo",,"Iniistius pavo","Iniistius","pavo","Iniistius pavo","Actinopteri","Eupercaria incertae sedis",219004
"Thalassoma virens (VU)","Archipiélago de Revillagigedo",,"Thalassoma virens","Thalassoma","virens","Thalassoma virens","Actinopteri","Eupercaria incertae sedis",273593
"Scarus compressus (LC)","Archipiélago de Revillagigedo",,"Scarus compressus","Scarus","compressus","Scarus compressus","Actinopteri","Eupercaria incertae sedis",276043
"Scarus ghobban (LC)","Archipiélago de Revillagigedo",,"Scarus ghobban","Scarus","ghobban","Scarus ghobban","Actinopteri","Eupercaria incertae sedis",219127
"Scarus perrico (LC)","Archipiélago de Revillagigedo",,"Scarus perrico","Scarus","perrico","Scarus perrico","Actinopteri","Eupercaria incertae sedis",276057
"Scarus rubroviolaceus (LC)","Archipiélago de Revillagigedo",,"Scarus rubroviolaceus","Scarus","rubroviolaceus","Scarus rubroviolaceus","Actinopteri","Eupercaria incertae sedis",219124
"Zanclus cornutus (LC)","Archipiélago de Revillagigedo",,"Zanclus cornutus","Zanclus","cornutus","Zanclus cornutus","Actinopteri","Acanthuriformes",220083
"Acanthurus nigricans (LC)","Archipiélago de Revillagigedo",,"Acanthurus nigricans","Acanthurus","nigricans","Acanthurus nigricans","Actinopteri","Acanthuriformes",219638
"Acanthurus xanthopterus (LC)","Archipiélago de Revillagigedo",,"Acanthurus xanthopterus","Acanthurus","xanthopterus","Acanthurus xanthopterus","Actinopteri","Acanthuriformes",219634
"Xanthichthys mento (LC)","Archipiélago de Revillagigedo",,"Xanthichthys mento","Xanthichthys","mento","Xanthichthys mento","Actinopteri","Tetraodontiformes",276247
"Rhincodon typus (EN)","Archipiélago de Revillagigedo",,"Rhincodon typus","Rhincodon","typus","Rhincodon typus","Elasmobranchii","Orectolobiformes",105847
"Alopias superciliosus (VU)","Archipiélago de Revillagigedo",,"Alopias superciliosus","Alopias","superciliosus","Alopias superciliosus","Elasmobranchii","Lamniformes",105835
"Alopias vulpinus (VU)","Archipiélago de Revillagigedo",,"Alopias vulpinus","Alopias","vulpinus","Alopias vulpinus","Elasmobranchii","Lamniformes",105836
"Galeorhinus galeus (VU)","Archipiélago de Revillagigedo",,"Galeorhinus galeus","Galeorhinus","galeus","Galeorhinus galeus","Elasmobranchii","Carcharhiniformes",105820
"Isurus oxyrinchus (EN)","Archipiélago de Revillagigedo",,"Isurus oxyrinchus","Isurus","oxyrinchus","Isurus oxyrinchus","Elasmobranchii","Lamniformes",105839
